code,sector
002220,食品行业
002221,石油行业
002222,电子器件
002223,医疗器械
002224,化工行业
002225,建筑建材
002226,化工行业
002227,发电设备
002228,印刷包装
002229,印刷包装
002230,电子信息
002231,电子信息
002232,电子信息
002233,水泥行业
002234,农林牧渔
002235,造纸行业
002236,仪器仪表
002237,有色金属
002238,传媒娱乐
002239,服装鞋类
002240,家具行业
002241,电子器件
002242,家电行业
002243,塑料制品
002244,房地产
002245,交通运输
002246,化工行业
002247,建筑建材
002248,机械行业
002249,电器行业
002250,化工行业
002251,商业百货
002252,生物制药
002253,电子信息
002254,化纤行业
002255,机械行业
002256,化工行业
002258,农药化肥
002259,家具行业
002260,家电行业
002261,电子信息
002262,生物制药
002263,塑料制品
002264,商业百货
002265,汽车制造
002266,电器行业
002267,供水供气
002268,电子信息
002269,服装鞋类
002270,机械行业
002271,建筑建材
002272,机械行业
002273,电子器件
002274,农药化肥
002275,生物制药
002276,发电设备
002277,商业百货
002278,机械行业
002279,电子信息
002280,电子信息
002281,电子信息
002282,机械行业
002283,汽车制造
002284,汽车制造
002285,房地产
002286,食品行业
002287,生物制药
002288,电子器件
002289,电子器件
002290,家电行业
002291,服装鞋类
002292,传媒娱乐
002293,服装鞋类
002294,生物制药
002295,有色金属
002296,电子信息
002297,其它行业
002298,电器行业
002299,农林牧渔
002300,发电设备
002301,文教、工美、体育和娱乐用品制造业
002302,水泥行业
002303,造纸行业
002304,酿酒行业
002305,房地产
002306,酒店旅游
002307,建筑建材
002308,电子信息
002309,电器行业
002310,建筑建材
002311,农林牧渔
002312,电子信息
002313,电子信息
002314,建筑建材
002315,电子信息
002316,电子信息
002317,生物制药
002318,钢铁行业
002319,化工行业
002320,交通运输
002321,农林牧渔
002322,电器行业
002323,发电设备
002324,塑料制品
002325,建筑建材
002326,化工行业
002327,服装鞋类
002328,机械行业
002329,食品行业
002330,食品行业
002331,电子信息
002332,生物制药
002333,有色金属
002334,电器行业
002335,电器行业
002336,商业百货
002337,机械行业
002338,仪器仪表
002339,电器行业
002340,有色金属
002341,化工行业
002342,机械行业
002343,塑料制品
002344,商业百货
002345,服装鞋类
002346,水泥行业
002347,机械行业
002348,文教、工美、体育和娱乐用品制造业
002349,生物制药
002350,发电设备
002351,电子信息
002352,其它行业
002353,机械行业
002354,电子信息
002355,汽车制造
002356,仪器仪表
002357,交通运输
002358,发电设备
002359,钢铁行业
002360,化工行业
002361,化工行业
002362,电子信息
002363,汽车制造
002364,电器行业
002365,生物制药
002366,机械行业
002367,交通运输
002368,电子信息
002369,电子信息
002370,生物制药
002371,电子器件
002372,建筑建材
002373,电子信息
002374,印刷包装
002375,建筑建材
002376,电子信息
002377,化工行业
002378,有色金属
002379,有色金属
002380,电器行业
002381,化工行业
002382,医疗器械
002383,电子信息
002384,电子信息
002385,农林牧渔
002386,化工行业
002387,食品行业
002388,电子器件
002389,电子器件
002390,生物制药
002391,农药化肥
002392,建筑建材
002393,生物制药
002394,纺织行业
002395,化工行业
002396,电子信息
002397,服装鞋类
002398,建筑建材
002399,生物制药
002400,印刷包装
002401,电子信息
002402,电子器件
002403,家电行业
002404,纺织行业
002405,电子信息
002406,汽车制造
002407,化工行业
002408,化工行业
002409,化工行业
002410,电子信息
002411,化工行业
002412,生物制药
002413,机械行业
002414,仪器仪表
002415,仪器仪表
002416,商业百货
002417,电子信息
002418,机械行业
002419,商业百货
002420,塑料制品
002421,电子信息
002422,生物制药
002423,钢铁行业
002424,生物制药
002425,服装鞋类
002426,电子器件
002427,化纤行业
002428,有色金属
002429,家电行业
002430,机械行业
002431,建筑建材
002432,医疗器械
002433,生物制药
002434,汽车制造
002435,机械行业
002436,电子器件
002437,生物制药
002438,机械行业
002439,电子信息
002440,化工行业
002441,商业百货
002442,化工行业
002443,钢铁行业
002444,机械行业
002445,机械行业
002446,电子信息
002447,农林牧渔
002448,交通运输
002449,电子器件
002450,化工行业
002451,发电设备
002452,电器行业
002453,化工行业
002454,汽车制造
002455,化工行业
002456,电子器件
002457,塑料制品
002458,农林牧渔
002459,机械行业
002460,有色金属
002461,酿酒行业
002462,商业百货
002463,电子器件
002464,塑料制品
002465,电子信息
002466,化工行业
002467,电子信息
002468,建筑建材
002469,建筑建材
002470,农药化肥
002471,发电设备
002472,机械行业
002473,家电行业
002474,电子信息
002475,电子器件
002476,化工行业
002477,农林牧渔
002478,钢铁行业
002479,电力行业
002480,机械行业
002481,食品行业
002482,建筑建材
002483,机械行业
002484,电子器件
002485,服装鞋类
002486,服装鞋类
002487,钢铁行业
002488,汽车制造
002489,家具行业
002490,机械行业
002491,电子信息
